No,Attributes
1151,+1:word.lower():plastic
1152,word.lower():plastic
1153,word[-3:]:tic
1154,word[:3]:pla
1155,word[:2]:pl
1156,-1:word.lower():hangers
1157,+1:word.lower():ass.
1158,word.lower():ass.
1159,word[-3:]:ss.
1160,word[-2:]:s.
1161,word[:3]:ass
1162,word[:2]:as
1163,-1:word.lower():plastic
1164,word[-3:]:ACK
1165,word[-2:]:CK
1166,word[:3]:BLA
1167,word[:2]:BL
1168,-1:word.lower():ass.
1169,+1:word.lower():logitech
1170,word.lower():logitech
1171,word[-3:]:ech
1172,word[-2:]:ch
1173,word[:3]:Log
1174,word[:2]:Lo
1175,+1:word.lower():m557
1176,word.lower():m557
1177,word[-3:]:557
1178,word[-2:]:57
1179,word[:3]:M55
1180,word[:2]:M5
1181,-1:word.lower():logitech
1182,+1:word.lower():dark
1183,word.lower():dark
1184,word[-3:]:ark
1185,word[-2:]:rk
1186,word[:3]:Dar
1187,word[:2]:Da
1188,-1:word.lower():m557
1189,+1:word.lower():gray
1190,word.lower():gray
1191,word[-3:]:ray
1192,word[-2:]:ay
1193,word[:3]:Gra
1194,word[:2]:Gr
1195,-1:word.lower():dark
1196,+1:word.lower():bluetooth
1197,word.lower():bluetooth
1198,word[-3:]:oth
1199,word[-2:]:th
1200,word[:3]:Blu
1201,-1:word.lower():gray
1202,+1:word.lower():mouse
1203,word.lower():mouse
1204,word[-3:]:use
1205,-1:word.lower():bluetooth
1206,-1:word.lower():mouse
1207,word.lower():heels
1208,word[-3:]:els
1209,word[-2:]:ls
1210,word[:3]:Hee
1211,word[:2]:He
1212,+1:word.lower():hh208
1213,word.lower():hh208
1214,word[-3:]:208
1215,word[-2:]:08
1216,word[:3]:HH2
1217,word[:2]:HH
1218,-1:word.lower():heels
1219,+1:word.lower():brukat
1220,word.lower():brukat
1221,word[-3:]:kat
1222,word[-2:]:at
1223,word[:3]:bru
1224,word[:2]:br
1225,-1:word.lower():hh208
1226,word.lower():jiayiqi
1227,word[-3:]:iqi
1228,word[-2:]:qi
1229,word[:3]:Jia
1230,word[:2]:Ji
1231,+1:word.lower():cotton
1232,word.lower():cotton
1233,word[:3]:Cot
1234,-1:word.lower():jiayiqi
1235,+1:word.lower():new
1236,word.lower():new
1237,word[-3:]:New
1238,word[-2:]:ew
1239,word[:3]:New
1240,word[:2]:Ne
1241,-1:word.lower():cotton
1242,+1:word.lower():born
1243,word.lower():born
1244,word[:3]:Bor
1245,word[:2]:Bo
1246,-1:word.lower():new
1247,word[-3:]:aby
1248,word[-2:]:by
1249,-1:word.lower():born
1250,+1:word.lower():socks
1251,word.lower():socks
1252,word[-3:]:cks
1253,word[-2:]:ks
1254,word[:3]:Soc
1255,word[:2]:So
1256,+1:word.lower():girls
1257,word.lower():girls
1258,word[-3:]:rls
1259,word[:3]:Gir
1260,word[:2]:Gi
1261,-1:word.lower():socks
1262,+1:word.lower():rubber
1263,word.lower():rubber
1264,word[-3:]:ber
1265,word[:3]:Rub
1266,word[:2]:Ru
1267,-1:word.lower():girls
1268,word.lower():madu
1269,word[-3:]:adu
1270,word[-2:]:du
1271,word[:3]:Mad
1272,word[:2]:Ma
1273,+1:word.lower():hutan
1274,word.lower():hutan
1275,word[-3:]:tan
1276,word[:3]:Hut
1277,word[:2]:Hu
1278,-1:word.lower():madu
1279,+1:word.lower():jambi
1280,word.lower():jambi
1281,word[-3:]:mbi
1282,word[-2:]:bi
1283,word[:3]:Jam
1284,word[:2]:Ja
1285,-1:word.lower():hutan
1286,"+1:word.lower():""asli"""
1287,"word.lower():""asli"""
1288,"word[-3:]:LI"""
1289,"word[-2:]:I"""
1290,"word[:3]:""AS"
1291,"word[:2]:""A"
1292,-1:word.lower():jambi
1293,word.lower():atteenahijab
1294,word[-3:]:jab
1295,word[-2:]:ab
1296,word[:3]:Att
1297,word[:2]:At
1298,+1:word.lower():hodie
1299,word.lower():hodie
1300,word[-3:]:die
1301,word[-2:]:ie
1302,word[:3]:Hod
1303,-1:word.lower():atteenahijab
1304,+1:word.lower():anjeli
1305,word.lower():anjeli
1306,word[-3:]:eli
1307,word[-2:]:li
1308,word[:3]:Anj
1309,word[:2]:An
1310,-1:word.lower():hodie
1311,word[-3:]:AJU
1312,word[-2:]:JU
1313,word[:3]:BAJ
1314,+1:word.lower():koko
1315,word.lower():koko
1316,word[-3:]:OKO
1317,word[-2:]:KO
1318,word[:3]:KOK
1319,+1:word.lower():197
1320,word.lower():197
1321,word[-3:]:197
1322,word[-2:]:97
1323,word[:3]:197
1324,word[:2]:19
1325,-1:word.lower():koko
1326,+1:word.lower():pendek
1327,word.lower():pendek
1328,word[-3:]:dek
1329,word[-2:]:ek
1330,word[:3]:Pen
1331,word[:2]:Pe
1332,+1:word.lower():dalam
1333,word.lower():dalam
1334,word[:3]:Dal
1335,-1:word.lower():pendek
1336,+1:word.lower():legging
1337,word.lower():legging
1338,word[:3]:Leg
1339,-1:word.lower():dalam
1340,+1:word.lower():katun
1341,word.lower():katun
1342,word[-3:]:tun
1343,word[-2:]:un
1344,word[:3]:Kat
1345,-1:word.lower():legging
1346,-1:word.lower():katun
1347,+1:word.lower():putih
1348,word.lower():putih
1349,word[-3:]:tih
1350,word[-2:]:ih
1351,word[:3]:Put
1352,word[:2]:Pu
1353,-1:word.lower():hitam
1354,word.lower():dijual
1355,word[:3]:Dij
1356,word[:2]:Di
1357,+1:word.lower():switch
1358,word.lower():switch
1359,word[-3:]:tch
1360,-1:word.lower():dijual
1361,+1:word.lower():kecil
1362,+1:postag:JJ
1363,+1:postag[:2]:JJ
1364,word.lower():kecil
1365,word[-3:]:cil
1366,word[:3]:kec
1367,word[:2]:ke
1368,postag:JJ
1369,postag[:2]:JJ
1370,-1:word.lower():switch
1371,+1:word.lower():rocket
1372,word.lower():rocket
1373,word[:3]:Roc
1374,word[:2]:Ro
1375,-1:word.lower():kecil
1376,-1:postag:JJ
1377,-1:postag[:2]:JJ
1378,word[:3]:swi
1379,word[:2]:sw
1380,-1:word.lower():rocket
1381,word.lower():anti
1382,word[-3:]:nti
1383,word[-2:]:ti
1384,word[:3]:Ant
1385,+1:word.lower():gores
1386,word.lower():gores
1387,word[-3:]:res
1388,word[:3]:Gor
1389,word[:2]:Go
1390,-1:word.lower():anti
1391,+1:word.lower():screen
1392,word.lower():screen
1393,word[-3:]:een
1394,word[:3]:Scr
1395,word[:2]:Sc
1396,-1:word.lower():gores
1397,+1:word.lower():guard
1398,word.lower():guard
1399,word[-3:]:ard
1400,word[-2:]:rd
1401,word[:3]:Gua
1402,word[:2]:Gu
1403,-1:word.lower():screen
1404,+1:word.lower():nillkin
1405,word.lower():nillkin
1406,word[-3:]:kin
1407,word[:3]:Nil
1408,word[:2]:Ni
1409,-1:word.lower():guard
1410,+1:word.lower():anti
1411,-1:word.lower():nillkin
1412,+1:word.lower():glare
1413,word.lower():glare
1414,word[-3:]:are
1415,word[:3]:Gla
1416,word[:2]:Gl
1417,+1:word.lower():protector
1418,word.lower():protector
1419,word[:3]:Pro
1420,-1:word.lower():glare
1421,word.lower():breket
1422,word[:3]:bre
1423,+1:word.lower():box
1424,word.lower():box
1425,word[-3:]:box
1426,word[-2:]:ox
1427,word[:3]:box
1428,word[:2]:bo
1429,-1:word.lower():breket
1430,word.lower():silver
1431,word[:3]:Sil
1432,word.lower():ume
1433,word[-3:]:Ume
1434,word[-2:]:me
1435,word[:3]:Ume
1436,word[:2]:Um
1437,word[-3:]:tra
1438,word[-2:]:ra
1439,word[:3]:Ult
1440,word[:2]:Ul
1441,-1:word.lower():ume
1442,+1:word.lower():fit
1443,word.lower():fit
1444,word[-3:]:Fit
1445,word[-2:]:it
1446,word[:3]:Fit
1447,+1:word.lower():air
1448,word.lower():air
1449,word[-3:]:Air
1450,word[:3]:Air
1451,word[:2]:Ai
1452,-1:word.lower():fit
1453,+1:word.lower():soft
1454,word.lower():soft
1455,word[-3:]:oft
1456,word[:3]:Sof
1457,-1:word.lower():air
1458,-1:word.lower():soft
1459,word[-3:]:Jam
1460,word[:3]:Tan
1461,+1:word.lower():tokyoflash
1462,word.lower():tokyoflash
1463,word[-3:]:ash
1464,word[-2:]:sh
1465,word[:3]:Tok
1466,+1:word.lower():barcode
1467,word.lower():barcode
1468,word[-3:]:ode
1469,word[-2:]:de
1470,word[:3]:Bar
1471,-1:word.lower():tokyoflash
1472,+1:word.lower():tokyo
1473,word.lower():tokyo
1474,word[-3:]:kyo
1475,word[-2:]:yo
1476,-1:word.lower():barcode
1477,+1:word.lower():flash
1478,word.lower():flash
1479,word[:3]:Fla
1480,-1:word.lower():tokyo
1481,+1:word.lower():led
1482,word.lower():led
1483,word[-3:]:LED
1484,word[-2:]:ED
1485,word[:3]:LED
1486,word[:2]:LE
1487,-1:word.lower():flash
1488,+1:word.lower():watch
1489,word.lower():watch
1490,word[:3]:Wat
1491,word[:2]:Wa
1492,-1:word.lower():led
1493,+1:word.lower():the
1494,word.lower():the
1495,word[-3:]:The
1496,word[-2:]:he
1497,word[:3]:The
1498,word[:2]:Th
1499,-1:word.lower():watch
1500,+1:word.lower():cylone
1501,word.lower():cylone
1502,word[:3]:Cyl
1503,word[:2]:Cy
1504,-1:word.lower():the
1505,+1:word.lower():binary
1506,word.lower():binary
1507,word[-3:]:ary
1508,word[-2:]:ry
1509,word[:3]:Bin
1510,word[:2]:Bi
1511,-1:word.lower():cylone
1512,word[-3:]:omo
1513,word[-2:]:mo
1514,word[:3]:sar
1515,word[:2]:sa
1516,+1:word.lower():sepeda
1517,word.lower():sepeda
1518,word[-3:]:eda
1519,word[-2:]:da
1520,word[:3]:sep
1521,+1:word.lower():pearl
1522,word.lower():pearl
1523,word[-3:]:arl
1524,word[-2:]:rl
1525,word[:3]:Pea
1526,-1:word.lower():sepeda
1527,+1:word.lower():izumi
1528,word.lower():izumi
1529,word[-3:]:umi
1530,word[-2:]:mi
1531,word[:3]:Izu
1532,word[:2]:Iz
1533,-1:word.lower():pearl
1534,+1:word.lower():gel
1535,word.lower():gel
1536,word[-3:]:gel
1537,word[-2:]:el
1538,word[:3]:gel
1539,word[:2]:ge
1540,-1:word.lower():izumi
1541,word[:3]:mur
1542,word[:2]:mu
1543,-1:word.lower():gel
1544,+1:word.lower():abu
1545,word.lower():abu
1546,word[-3:]:Abu
1547,word[-2:]:bu
1548,word[:3]:Abu
1549,word[:2]:Ab
1550,+1:word.lower():berkualitas
1551,word.lower():berkualitas
1552,word[-3:]:tas
1553,-1:word.lower():abu
1554,+1:word.lower():20170822
1555,word.lower():20170822
1556,word[-3:]:822
1557,word[-2:]:22
1558,-1:word.lower():berkualitas
1559,word.lower():ps3
1560,word[-3:]:PS3
1561,word[-2:]:S3
1562,word[:3]:PS3
1563,word[:2]:PS
1564,+1:word.lower():one
1565,word.lower():one
1566,word[:3]:ONE
1567,word[:2]:ON
1568,-1:word.lower():ps3
1569,+1:word.lower():piece
1570,word.lower():piece
1571,word[-3:]:ECE
1572,word[-2:]:CE
1573,word[:3]:PIE
1574,-1:word.lower():one
1575,+1:word.lower():unlimited
1576,word.lower():unlimited
1577,word[-3:]:TED
1578,word[:3]:UNL
1579,word[:2]:UN
1580,-1:word.lower():piece
1581,+1:word.lower():world
1582,word.lower():world
1583,word[-3:]:RLD
1584,word[-2:]:LD
1585,word[:3]:WOR
1586,word[:2]:WO
1587,-1:word.lower():unlimited
1588,+1:word.lower():red
1589,word.lower():red
1590,word[-3:]:RED
1591,word[:3]:RED
1592,word[:2]:RE
1593,-1:word.lower():world
1594,+1:word.lower():usa
1595,word.lower():usa
1596,word[-3:]:USA
1597,word[-2:]:SA
1598,word[:3]:USA
1599,word[:2]:US
1600,-1:word.lower():red
1601,+1:word.lower():(used)
1602,word.lower():(used)
1603,word[-3:]:ED)
1604,word[-2:]:D)
1605,word[:3]:(US
1606,word[:2]:(U
1607,-1:word.lower():usa
1608,word.lower():dermo
1609,word[-3:]:rmo
1610,word[:3]:Der
1611,+1:word.lower():eye
1612,word.lower():eye
1613,word[-3:]:Eye
1614,word[-2:]:ye
1615,word[:3]:Eye
1616,word[:2]:Ey
1617,-1:word.lower():dermo
1618,+1:word.lower():treatment
1619,word.lower():treatment
1620,word[:3]:Tre
1621,-1:word.lower():eye
1622,word[-3:]:Gel
1623,word[:3]:Gel
1624,word[:2]:Ge
1625,-1:word.lower():treatment
1626,+1:word.lower():with
1627,word.lower():with
1628,word[-3:]:ith
1629,word[:3]:wit
1630,word[:2]:wi
1631,+1:word.lower():astaxanthine
1632,word.lower():astaxanthine
1633,word[-3:]:ine
1634,word[:3]:Ast
1635,word[:2]:As
1636,-1:word.lower():with
1637,word.lower():tumbler
1638,word[-3:]:ler
1639,word[:3]:Tum
1640,+1:word.lower():600ml
1641,word.lower():600ml
1642,word[-3:]:0ML
1643,word[-2:]:ML
1644,word[:3]:600
1645,word[:2]:60
1646,-1:word.lower():tumbler
1647,+1:word.lower():600
1648,word.lower():600
1649,word[-3:]:600
1650,word[-2:]:00
1651,-1:word.lower():600ml
1652,+1:word.lower():ml
1653,word.lower():ml
1654,word[-3:]:ML
1655,word[:3]:ML
1656,word[:2]:ML
1657,-1:word.lower():600
1658,word.lower():oneway
1659,word[-3:]:WAY
1660,word[-2:]:AY
1661,+1:word.lower():sarungstir
1662,word.lower():sarungstir
1663,word[-3:]:tir
1664,-1:word.lower():oneway
1665,-1:word.lower():sarungstir
1666,+1:word.lower():tipe
1667,word.lower():tipe
1668,word[-3:]:IPE
1669,word[-2:]:PE
1670,word[:3]:TIP
1671,word[:2]:TI
1672,+1:word.lower():eclipse
1673,word.lower():eclipse
1674,word[-3:]:PSE
1675,word[-2:]:SE
1676,word[:3]:ECL
1677,word[:2]:EC
1678,-1:word.lower():tipe
1679,+1:word.lower():simple
1680,word.lower():simple
1681,word[-3:]:ple
1682,-1:word.lower():eclipse
1683,+1:word.lower():elegan
1684,word.lower():elegan
1685,word[:3]:Ele
1686,word[:2]:El
1687,-1:word.lower():simple
1688,word.lower():wardah
1689,word[-3:]:dah
1690,word[:3]:War
1691,+1:word.lower():wondershine
1692,word.lower():wondershine
1693,word[:3]:Won
1694,word[:2]:Wo
1695,-1:word.lower():wardah
1696,word.lower():cvnx.id
1697,word[-3:]:.ID
1698,word[-2:]:ID
1699,word[:3]:CVN
1700,word[:2]:CV
1701,+1:word.lower():sandal
1702,word.lower():sandal
1703,word[-3:]:dal
1704,word[:3]:San
1705,-1:word.lower():cvnx.id
1706,-1:word.lower():sandal
1707,+1:word.lower():cvnx.id
1708,+1:word.lower():g3c
1709,word.lower():g3c
1710,word[-3:]:G3C
1711,word[-2:]:3C
1712,word[:3]:G3C
1713,word[:2]:G3
1714,+1:word.lower():coklat
1715,word.lower():coklat
1716,word[-3:]:lat
1717,word[:3]:Cok
1718,-1:word.lower():g3c
1719,word.lower():oxone
1720,word[:3]:Oxo
1721,word[:2]:Ox
1722,+1:word.lower():mars
1723,word.lower():mars
1724,word[-3:]:ars
1725,word[:3]:Mar
1726,-1:word.lower():oxone
1727,+1:word.lower():3
1728,word.lower():3
1729,word[-3:]:3
1730,word[-2:]:3
1731,word[:3]:3
1732,word[:2]:3
1733,-1:word.lower():mars
1734,+1:word.lower():in
1735,word.lower():in
1736,word[-3:]:In
1737,word[-2:]:In
1738,word[:3]:In
1739,-1:word.lower():3
1740,+1:word.lower():1
1741,word.lower():1
1742,word[-3:]:1
1743,word[-2:]:1
1744,word[:3]:1
1745,word[:2]:1
1746,-1:word.lower():in
1747,+1:word.lower():rice
1748,word.lower():rice
1749,word[-3:]:ice
1750,word[-2:]:ce
1751,word[:3]:Ric
1752,word[:2]:Ri
1753,-1:word.lower():1
1754,+1:word.lower():cooker
1755,word.lower():cooker
1756,word[-3:]:ker
1757,word[:3]:Coo
1758,-1:word.lower():rice
1759,+1:word.lower():ox-816
1760,word.lower():ox-816
1761,word[-3:]:816
1762,word[-2:]:16
1763,word[:3]:ox-
1764,word[:2]:ox
1765,-1:word.lower():cooker
1766,word.lower():stiker
1767,word[:3]:Sti
1768,word[:2]:St
1769,word[:3]:Mob
1770,-1:word.lower():stiker
1771,+1:word.lower():hello
1772,word.lower():hello
1773,word[-3:]:llo
1774,word[-2:]:lo
1775,word[:3]:Hel
1776,+1:word.lower():kitty
1777,word.lower():kitty
1778,word[-3:]:tty
1779,word[:3]:Kit
1780,-1:word.lower():hello
1781,-1:word.lower():kitty
1782,"+1:word.lower():7/8"""
1783,"word.lower():7/8"""
1784,"word[-3:]:/8"""
1785,"word[-2:]:8"""
1786,word[:3]:7/8
1787,word[:2]:7/
1788,+1:word.lower():motorcycle
1789,word.lower():motorcycle
1790,word[-3:]:cle
1791,word[:3]:Mot
1792,"-1:word.lower():7/8"""
1793,+1:word.lower():quad
1794,word.lower():quad
1795,word[-3:]:uad
1796,word[-2:]:ad
1797,word[:3]:Qua
1798,word[:2]:Qu
1799,-1:word.lower():motorcycle
1800,+1:word.lower():atv
1801,word.lower():atv
1802,word[-3:]:Atv
1803,word[-2:]:tv
1804,word[:3]:Atv
1805,-1:word.lower():quad
1806,+1:word.lower():engine
1807,word.lower():engine
1808,word[:3]:Eng
1809,word[:2]:En
1810,-1:word.lower():atv
1811,+1:word.lower():stop
1812,word.lower():stop
1813,word[:3]:Sto
1814,-1:word.lower():engine
1815,+1:word.lower():tether
1816,word.lower():tether
1817,word[-3:]:her
1818,word[:3]:Tet
1819,-1:word.lower():stop
1820,+1:word.lower():kill
1821,word.lower():kill
1822,word[-3:]:ill
1823,word[-2:]:ll
1824,word[:3]:Kil
1825,-1:word.lower():tether
1826,-1:word.lower():kill
1827,+1:word.lower():push
1828,word.lower():push
1829,word[-3:]:ush
1830,word[:3]:Pus
1831,+1:word.lower():button
1832,word.lower():button
1833,word[:3]:But
1834,word[:2]:Bu
1835,-1:word.lower():push
1836,+1:word.lower():intl
1837,word.lower():intl
1838,word[-3:]:ntl
1839,word[-2:]:tl
1840,word[:3]:int
1841,word[:2]:in
1842,-1:word.lower():button
1843,word.lower():jbl
1844,word[-3:]:Jbl
1845,word[-2:]:bl
1846,word[:3]:Jbl
1847,word[:2]:Jb
1848,+1:word.lower():gt5-1204
1849,word.lower():gt5-1204
1850,word[-3:]:204
1851,word[-2:]:04
1852,word[:3]:Gt5
1853,word[:2]:Gt
1854,-1:word.lower():jbl
1855,+1:word.lower():br
1856,word.lower():br
1857,word[-3:]:Br
1858,word[-2:]:Br
1859,word[:3]:Br
1860,word[:2]:Br
1861,-1:word.lower():gt5-1204
1862,+1:word.lower():12
1863,word.lower():12
1864,word[-3:]:12
1865,word[-2:]:12
1866,word[:3]:12
1867,-1:word.lower():br
1868,+1:word.lower():subwoofer
1869,word.lower():subwoofer
1870,word[-3:]:fer
1871,word[:3]:Sub
1872,word[:2]:Su
1873,-1:word.lower():12
1874,+1:word.lower():active
1875,word.lower():active
1876,word[-3:]:ive
1877,word[-2:]:ve
1878,-1:word.lower():subwoofer
1879,-1:word.lower():active
1880,+1:word.lower():bass
1881,word.lower():bass
1882,word[-3:]:ass
1883,word[-2:]:ss
1884,word[:3]:Bas
1885,+1:word.lower():reflex
1886,word.lower():reflex
1887,word[-3:]:lex
1888,word[-2:]:ex
1889,word[:3]:Ref
1890,-1:word.lower():bass
1891,word[-3:]:Box
1892,word[:3]:Box
1893,-1:word.lower():reflex
1894,word[-3:]:sus
1895,word[-2:]:us
1896,word[:3]:Asu
1897,+1:word.lower():zenfone
1898,word.lower():zenfone
1899,word[:3]:Zen
1900,word[:2]:Ze
1901,+1:word.lower():live
1902,word.lower():live
1903,word[:3]:Liv
1904,word[:2]:Li
1905,-1:word.lower():zenfone
1906,+1:word.lower():zb501kl
1907,word.lower():zb501kl
1908,word[-3:]:1KL
1909,word[-2:]:KL
1910,word[:3]:ZB5
1911,word[:2]:ZB
1912,-1:word.lower():live
1913,+1:word.lower():smartphone
1914,word.lower():smartphone
1915,word[:3]:Sma
1916,word[:2]:Sm
1917,-1:word.lower():zb501kl
1918,+1:word.lower():2
1919,word.lower():2
1920,word[-3:]:2
1921,word[-2:]:2
1922,word[:3]:2
1923,word[:2]:2
1924,-1:word.lower():smartphone
1925,+1:word.lower():gb
1926,word.lower():gb
1927,word[-3:]:GB
1928,word[:3]:GB
1929,word[:2]:GB
1930,-1:word.lower():2
1931,-1:word.lower():gb
1932,word.lower():instant
1933,word[-3:]:ANT
1934,word[-2:]:NT
1935,word[:3]:INS
1936,word[:2]:IN
1937,+1:word.lower():noodle
1938,word.lower():noodle
1939,word[-3:]:DLE
1940,word[-2:]:LE
1941,word[:3]:NOO
1942,word[:2]:NO
1943,-1:word.lower():instant
1944,+1:word.lower():samyang
1945,word.lower():samyang
1946,word[:3]:SAM
1947,word[:2]:SA
1948,-1:word.lower():noodle
1949,+1:word.lower():seafood
1950,word.lower():seafood
1951,word[-3:]:OOD
1952,word[-2:]:OD
1953,word[:3]:SEA
1954,-1:word.lower():samyang
1955,+1:word.lower():ramyun
1956,word.lower():ramyun
1957,word[-3:]:YUN
1958,word[-2:]:UN
1959,word[:3]:RAM
1960,word[:2]:RA
1961,-1:word.lower():seafood
1962,+1:word.lower():mie
1963,word.lower():mie
1964,word[-3:]:MIE
1965,word[-2:]:IE
1966,word[:3]:MIE
1967,word[:2]:MI
1968,-1:word.lower():ramyun
1969,+1:word.lower():instant
1970,-1:word.lower():mie
1971,word.lower():yamaha
1972,word[-3:]:aha
1973,word[-2:]:ha
1974,word[:3]:Yam
1975,word[:2]:Ya
1976,+1:word.lower():nmax
1977,word.lower():nmax
1978,word[-3:]:max
1979,word[-2:]:ax
1980,word[:3]:Nma
1981,word[:2]:Nm
1982,-1:word.lower():yamaha
1983,+1:word.lower():non
1984,word.lower():non
1985,word[-3:]:Non
1986,word[:3]:Non
1987,-1:word.lower():nmax
1988,+1:word.lower():abs
1989,word.lower():abs
1990,word[:3]:ABS
1991,word[:2]:AB
1992,-1:word.lower():non
1993,+1:word.lower():white
1994,word.lower():white
1995,word[-3:]:ite
1996,word[-2:]:te
1997,-1:word.lower():abs
1998,+1:word.lower():khusus
1999,word.lower():khusus
2000,word[:3]:Khu
2001,word[:2]:Kh
2002,-1:word.lower():white
2003,+1:word.lower():tangerang
2004,word.lower():tangerang
2005,-1:word.lower():khusus
2006,+1:word.lower():dan
2007,+1:postag:CC
2008,+1:postag[:2]:CC
2009,word.lower():dan
2010,word[-3:]:dan
2011,word[:3]:dan
2012,word[:2]:da
2013,postag:CC
2014,postag[:2]:CC
2015,-1:word.lower():tangerang
2016,+1:word.lower():sekitarnya
2017,word.lower():sekitarnya
2018,word[-3:]:nya
2019,word[-2:]:ya
2020,word[:3]:Sek
2021,-1:word.lower():dan
2022,-1:postag:CC
2023,-1:postag[:2]:CC
2024,word.lower():marvel
2025,word[-3:]:vel
2026,+1:word.lower():pianika
2027,word.lower():pianika
2028,word[-3:]:ika
2029,word[:3]:Pia
2030,-1:word.lower():marvel
2031,-1:word.lower():pianika
2032,+1:word.lower():32
2033,word.lower():32
2034,word[-3:]:32
2035,word[-2:]:32
2036,word[:3]:32
2037,word[:2]:32
2038,+1:word.lower():tuts
2039,word.lower():tuts
2040,word[-3:]:uts
2041,word[-2:]:ts
2042,word[:3]:Tut
2043,-1:word.lower():32
2044,+1:word.lower():warna
2045,word.lower():warna
2046,word[-3:]:rna
2047,-1:word.lower():tuts
2048,+1:word.lower():biru
2049,word.lower():biru
2050,word[:3]:Bir
2051,-1:word.lower():warna
2052,word.lower():alat
2053,word[-3:]:LAT
2054,word[-2:]:AT
2055,word[:3]:ALA
2056,word[:2]:AL
2057,+1:word.lower():pembersih
2058,word.lower():pembersih
2059,word[-3:]:SIH
2060,word[-2:]:IH
2061,word[:3]:PEM
2062,word[:2]:PE
2063,-1:word.lower():alat
2064,+1:word.lower():gigi
2065,word.lower():gigi
2066,word[-3:]:IGI
2067,word[-2:]:GI
2068,word[:3]:GIG
2069,word[:2]:GI
2070,-1:word.lower():pembersih
2071,+1:word.lower():...
2072,word.lower():...
2073,word[-3:]:...
2074,word[-2:]:..
2075,word[:3]:...
2076,word[:2]:..
2077,-1:word.lower():gigi
2078,word.lower():tee
2079,word[-3:]:TEE
2080,word[-2:]:EE
2081,word[:3]:TEE
2082,word[:2]:TE
2083,+1:word.lower():kaos
2084,word.lower():kaos
2085,word[-3:]:AOS
2086,word[-2:]:OS
2087,word[:3]:KAO
2088,word[:2]:KA
2089,-1:word.lower():tee
2090,+1:word.lower():anak
2091,word.lower():anak
2092,word[-3:]:NAK
2093,word[-2:]:AK
2094,word[:3]:ANA
2095,word[:2]:AN
2096,-1:word.lower():kaos
2097,-1:word.lower():anak
2098,+1:word.lower():karakter
2099,word.lower():karakter
2100,word[-3:]:TER
2101,word[:3]:KAR
2102,+1:word.lower():1-6t
2103,word.lower():1-6t
2104,word[-3:]:-6T
2105,word[-2:]:6T
2106,word[:3]:1-6
2107,word[:2]:1-
2108,-1:word.lower():karakter
2109,word.lower():paket
2110,word[:3]:Pak
2111,+1:word.lower():virtual
2112,word.lower():virtual
2113,word[:3]:Vir
2114,word[:2]:Vi
2115,-1:word.lower():paket
2116,+1:word.lower():reality
2117,word.lower():reality
2118,word[:3]:Rea
2119,-1:word.lower():virtual
2120,+1:word.lower():3d
2121,word.lower():3d
2122,word[-3:]:3D
2123,word[-2:]:3D
2124,word[:3]:3D
2125,word[:2]:3D
2126,-1:word.lower():reality
2127,+1:word.lower():glasses
2128,word.lower():glasses
2129,word[-3:]:ses
2130,-1:word.lower():3d
2131,+1:word.lower():vr
2132,word.lower():vr
